Item No.,ONS Item Description ,Sort Field,S or Q,Seasonal months,Months,J,F,M,A,M,J,J,A,S,O,N,D,Label 1,Label 2,Label 3,Label 4,Label 5,Fixed Desc. Line 1,Fixed Desc. Line 2,Fixed Desc. Line 3,Fixed Desc. Line 4,Fixed Desc. Line 5,HELP line 1,HELP line 2,HELP line 3,HELP line 4,HELP line 5,HELP line 6,c1,c2,c3,c4,c5,n1,n2,n3,n4,n5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,F- BREAD - UNSLICED,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210102,"Large Loaf, White, unsliced, 800g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," State variety  e.g. farmhouse, tin, bloomer.", Change of variety = C., Only price organic if representative of store., , , Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Change of variety,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210106,"6 bread rolls, White/brown",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State loose/pre-packed. Try not to switch (N).," State roll type - crusty, bap, finger"," / white, brown etc. Try not to switch (N)", Try not to switch (N)., Only price organic if representative of store., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between pre-packed and loose,Change between white and brown,Change in roll type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,F- CEREALS & DRY GOODS,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210201,"Flour, self-raising, 1.5kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Price basic self raising not speciality flours., Must be 1.5kg pack not 3 X 500g., Only price organic if representative of store., , , Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210204,"Dry Spaghetti or pasta, 500g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State pasta type.  Try not to switch (N)., State white/wholemeal. Try not to switch (N)., Only price organic if representative of store., , , Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in type of pasta,Change between white and wholemeal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210212,"Basmati rice, 500g - 1kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Boil-in-the-bag Basmati can be priced,", but is not comparable with ordinary Basmati., Do not split a 1 Kg bag., Only price organic if representative of store., , Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210213,Breakfast cereal 1 Sugar/chocolate coated,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," eg Frosties, Coco Pops", State type. Try not to switch (N)., Only price organic if representative of store., , State weight. Try not to switch (N)., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210214,Breakfast cereal 2 NOT sugar/chocolate coated,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, eg Cornflakes, State type. Try not to switch (N)., Only price organic if representative of store., , State weight. Try not to switch (N)., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212101,"Sugar - Granulated, white, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Must be 1kg pack not 2 X 500g., Do not price cubes., Do not price Golden granulated., Only price organic if representative of store., , Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
