store,ons_item_no,ons_item_name,base_url,base_cat,store_sub1,store_sub2,store_sub3,search_terms
SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/beer-cider,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider
SAINSBURY,212717,"Apples, dessert, per kg",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/fresh-fruit,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/apples-pears-rhubarb,apples 
SAINSBURY,212719,"Bananas, per kg",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/fresh-fruit,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/bananas-grapes,bananas 
SAINSBURY,310207,"Bitter, 4 cans, 3.4%-7.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/beer-cider,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/ale-stout,bitter
SAINSBURY,310405,"Brandy, bottle",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/spirits-liqueurs,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/brandy-cognac,brandy
SAINSBURY,210213,"Breakfast Cereal 1, sugar/chocolate coated",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard/breakfast-cereals,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard/kids-cereals,
SAINSBURY,210214,"Breakfast Cereal 2, NOT sugar/chocolate coated",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard/breakfast-cereals,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard/healthier-cereals,
SAINSBURY,211501,"Cheese Cheddar, home produced, per kg",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/cheese,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/cheddar-british-regional-cheese,british cheddar 
SAINSBURY,212011,"Cola Flavoured Drink, bottle",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/fizzy-drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/single-bottles---cans,cola
SAINSBURY,210204,"Dry Spaghetti or pasta, 500g",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard/rice-pasta-noodles,http://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard/pasta,500g
SAINSBURY,212519,"Fresh Veg, Onions, per kg",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/fresh-vegetables,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/onions-leeks-garlic,onions 
SAINSBURY,212515,"Fresh Veg, Tomatoes, per kg",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/fresh-salad,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/fresh-salad-tomatoes,tomatoes 
