store,ons_item_no,ons_item_name,base_url,base_cat,store_sub1,store_sub2,store_sub3,search_terms
TESCO,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.tesco.com/groceries,Groceries,Drinks,Beer & Cider,Cider,apple cider
TESCO,212717,"Apples, dessert, per kg",http://www.tesco.com/groceries,Groceries,Fresh Food,Fresh Fruit,"Apples, Pears & Rhubarb",apples 
TESCO,212719,"Bananas, per kg",http://www.tesco.com/groceries,Groceries,Fresh Food,Fresh Fruit,Bananas,bananas 
TESCO,310207,"Bitter, 4 cans, 3.4%-7.5% ABV",http://www.tesco.com/groceries,Groceries,Drinks,Beer & Cider,"Beer - Bitter, Ale, Stout",bitter
TESCO,310405,"Brandy, bottle",http://www.tesco.com/groceries,Groceries,Drinks,Spirits,Brandy & Cognac,brandy
TESCO,210213,"Breakfast Cereal 1, sugar/chocolate coated",http://www.tesco.com/groceries,Groceries,Food Cupboard,Cereals,Childrens Cereals,
TESCO,210214,"Breakfast Cereal 2, NOT sugar/chocolate coated",http://www.tesco.com/groceries,Groceries,Food Cupboard,Cereals,Healthier Cereal,
TESCO,211501,"Cheese Cheddar, home produced, per kg",http://www.tesco.com/groceries,Groceries,Fresh Food,Cheese,Cheddar Cheese,british cheddar 
TESCO,212011,"Cola Flavoured Drink, bottle",http://www.tesco.com/groceries,Groceries,Drinks,Soft Drinks,Cola,
TESCO,210204,"Dry Spaghetti or pasta, 500g",http://www.tesco.com/groceries,Groceries,Food Cupboard,"Dried Pasta, Rice, Noodles & Cous Cous",Dried Pasta,500g
TESCO,212519,"Fresh Veg, Onions, per kg",http://www.tesco.com/groceries,Groceries,Fresh Food,Fresh Vegetables,Onions & Shallots,onions 
TESCO,212515,"Fresh Veg, Tomatoes, per kg",http://www.tesco.com/groceries,Groceries,Fresh Food,Salads & Dips,Tomatoes,
TESCO,212016,"Fresh/Chilled Orange Juice, eg. Tropicana",http://www.tesco.com/groceries,Groceries,Drinks,Chilled Fruit Juice & Smoothies,Chilled Orange Juice,fresh orange juice 
TESCO,212722,"Grapes, per kg",http://www.tesco.com/groceries,Groceries,Fresh Food,Fresh Fruit,Grapes,grapes 
TESCO,310215,"Lager, 4 bottles, 4.3%-7.5% ABV",http://www.tesco.com/groceries,Groceries,Drinks,Beer & Cider,Beer - Lager,lager bottles 
TESCO,210302,Plain Biscuits (eg. Digestive),http://www.tesco.com/groceries,Groceries,Food Cupboard,Biscuits,Sweet Biscuits,digestives
TESCO,212360,"Potatoes, old, white     ",http://www.tesco.com/groceries,Groceries,Fresh Food,Fresh Vegetables,Potatoes,old white potatoes 
TESCO,310421,"Red Wine, European, bottle",http://www.tesco.com/groceries,Groceries,Drinks,Wine,Red Wine,red wine 
TESCO,310427,"RUM, WHITE, BOTTLE",http://www.tesco.com/groceries,Groceries,Drinks,Spirits,Rum,white rum 
TESCO,211709,"Shop Milk, whole milk",http://www.tesco.com/groceries,Groceries,Fresh Food,"Milk, Butter & Eggs",Fresh Milk,whole
TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",http://www.tesco.com/groceries,Groceries,Fresh Food,"Milk, Butter & Eggs",Fresh Milk,semi skimmed 
TESCO,211305,"Spreadable butter, 500g, 40-70% butter content",http://www.tesco.com/groceries,Groceries,Fresh Food,"Milk, Butter & Eggs","Butter, Spreads & Margarine",spreadable butter 500g
TESCO,212720,"Strawberries, per kg or per punnet",http://www.tesco.com/groceries,Groceries,Fresh Food,Fresh Fruit,Berries & Cherries,strawberries 
TESCO,211901,"Tea bags, per packet of 80, 250g",http://www.tesco.com/groceries,Groceries,Drinks,Tea,Everyday Tea,80 250g
TESCO,310403,"Vodka, bottle",http://www.tesco.com/groceries,Groceries,Drinks,Spirits,Vodka,vodka
TESCO,310401,"Whisky, bottle",http://www.tesco.com/groceries,Groceries,Drinks,Spirits,Whisky,whisky
TESCO,210111,"White Sliced Loaf, branded",http://www.tesco.com/groceries,Groceries,Bakery,Bread,White Bread,sliced 
TESCO,310419,"White Wine, European, bottle",http://www.tesco.com/groceries,Groceries,Drinks,Wine,White Wine,white wine
TESCO,210113,"Wholemeal Sliced Loaf, branded",http://www.tesco.com/groceries,Groceries,Bakery,Bread,Brown Bread,wholemeal sliced
TESCO,211814,"Yoghurt, small individual",http://www.tesco.com/groceries,Groceries,Fresh Food,Yoghurt,Yoghurts,yogurt single
TESCO,211807,Yoghurt/Fromage Frais,http://www.tesco.com/groceries,Groceries,Fresh Food,Yoghurt,Yoghurts,fromage frais 
TESCO,212006,"Fruit Juice, not orange, eg. apple",http://www.tesco.com/groceries,Groceries,Drinks,Chilled Fruit Juice & Smoothies,Chilled Apple Juice,apple juice
TESCO,212017,Fizzy bottled drink,http://www.tesco.com/groceries,Groceries,Drinks,Soft Drinks,Sparkling Drinks,bottle
