store,ons_item_no,ons_item_name,base_url,base_cat,store_sub1,store_sub2,store_sub3,search_terms
TESCO,210113,"Wholemeal Sliced Loaf, branded",http://www.tesco.com/groceries,Groceries,Bakery,Bread,Brown Bread,Wholemeal sliced loaf
TESCO,210111,"White Sliced Loaf, branded",http://www.tesco.com/groceries,Groceries,Bakery,Bread,White Bread,White sliced loaf 
TESCO,212011,"Cola Flavoured Drink, bottle",http://www.tesco.com/groceries,Groceries,Drinks,Soft Drinks,Sparkling Drinks,Cola 
TESCO,212017,Fizzy Bottled Drink,http://www.tesco.com/groceries,Groceries,Drinks,Soft Drinks,Sparkling Drinks,Sparkling Drinks
TESCO,210302,Plain Biscuits (eg. Digestive),http://www.tesco.com/groceries,Groceries,Food Cupboard,Biscuits,Sweet Biscuits,Biscuits 
TESCO,210213,"Breakfast Cereal 1, sugar/chocolate coated",http://www.tesco.com/groceries,Groceries,Food Cupboard,Cereals,Childrens Cereals,Cereal Kids 
TESCO,210214,"Breakfast Cereal 2, NOT sugar/chocolate coated",http://www.tesco.com/groceries,Groceries,Food Cupboard,Cereals,Healthy Cereals,Cereal Healthy 
TESCO,211709,"Shop Milk, whole milk",http://www.tesco.com/groceries,Groceries,Fresh Food,"Milk, Butter & Eggs",Fresh Milk,Milk whole milk 
TESCO,211710,"Shop Milk, semi-skimmed",http://www.tesco.com/groceries,Groceries,Fresh Food,"Milk, Butter & Eggs",Fresh Milk,Milk semi-skimmed 
TESCO,212360,"Potatoes, old, white     ",http://www.tesco.com/groceries,Groceries,,,,Potatoes 
TESCO,212361,"Potatoes, baking  ",http://www.tesco.com/groceries,Groceries,,,,Potatoes 
TESCO,212399,"Potatoes, new, per kg",http://www.tesco.com/groceries,Groceries,,,,Potatoes 
TESCO,212515,"Fresh Veg, Tomatoes, per kg",http://www.tesco.com/groceries,Groceries,,,,Fresh Tomatoes 
TESCO,212519,"Fresh Veg, Onions, per kg",http://www.tesco.com/groceries,Groceries,,,,Onions 
TESCO,212717,"Apples, dessert, per kg",http://www.tesco.com/groceries,Groceries,,,,Apples 
TESCO,212719,"Bananas, per kg",http://www.tesco.com/groceries,Groceries,,,,Bananas 
TESCO,212720,"Strawberries, per kg or per punnet",http://www.tesco.com/groceries,Groceries,,,,Strawberries 
TESCO,212722,"Grapes, per kg",http://www.tesco.com/groceries,Groceries,,,,Grapes 
TESCO,310401,"Whisky, bottle",http://www.tesco.com/groceries,Groceries,,,,whisky
TESCO,310403,"Vodka, bottle",http://www.tesco.com/groceries,Groceries,,,,vodka 
TESCO,310405,"Brandy, bottle",http://www.tesco.com/groceries,Groceries,,,,brandy 
TESCO,310427,"RUM, WHITE, BOTTLE",http://www.tesco.com/groceries,Groceries,,,,white rum 
TESCO,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.tesco.com/groceries,Groceries,,,, apple Cider 
TESCO,310419,"White Wine, European, bottle",http://www.tesco.com/groceries,Groceries,,,,white wine 
TESCO,310420,"White Wine, New World, bottle",http://www.tesco.com/groceries,Groceries,,,,white wine 
TESCO,310421,"Red Wine, European, bottle",http://www.tesco.com/groceries,Groceries,,,,red wine 
TESCO,310422,"Red Wine, New World, bottle",http://www.tesco.com/groceries,Groceries,,,,red wine 
TESCO,310207,"Bitter, 4 cans, 3.4%-7.5% ABV",http://www.tesco.com/groceries,Groceries,,,,Bitter
TESCO,310215,"Lager, 4 bottles, 4.3%-7.5% ABV",http://www.tesco.com/groceries,Groceries,,,,lager bottles 
TESCO,310216,"Lager, 12-24 cans, 3.4%-4.2% ABV",http://www.tesco.com/groceries,Groceries,,,,lager cans
TESCO,310217,"Lager, 12-24 bottles, 4.3%-7.5% ABV",http://www.tesco.com/groceries,Groceries,,,,lager bottles 
TESCO,211501,"Cheese Cheddar, home produced, per kg",http://www.tesco.com/groceries,Groceries,,,,British Cheddar 
TESCO,211807,Yoghurt/Fromage Frais,http://www.tesco.com/groceries,Groceries,,,,Fromage Frais 
TESCO,211814,"Yoghurt, small individual",http://www.tesco.com/groceries,Groceries,,,,Yoghurt 
TESCO,212006,"Fruit Juice, not orange, eg. apple",http://www.tesco.com/groceries,Groceries,,,,Fruit Juice 
TESCO,212016,"Fresh/Chilled Orange Juice, eg. Tropicana",http://www.tesco.com/groceries,Groceries,,,,Fresh orange juice 
