timestamp,store,ons_item_no,ons_item_name,product_type,search_string,search_matches,product_name,item_price_str,item_price_num,volume_price,unit_price,no_units,units,std_price,std_unit,promo,offer
2015-11-04 09:44:16.685335,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,ADDLESTONES CLOUDY CIDER 500ML,£2.00/unit,2.0,£4.00 / 1 ltr,4.0,1,ltr,4.0,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.691365,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.0,ASPALL IMPERIAL VINTAGE 285 SUFFOLK CYDER 500ML,£2.50/unit,2.5,£5.00 / 1 ltr,5.0,1,ltr,5.0,l,,
2015-11-04 09:44:16.697294,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.0,ASPALL PREMIER CRU DRY CYDER 500ML,£2.00/unit,2.0,£4.00 / 1 ltr,4.0,1,ltr,4.0,l,,
2015-11-04 09:44:16.702468,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.0,ASPALL SUFFOLK DRAUGHT CYDER 500ML,£2.00/unit,2.0,£4.00 / 1 ltr,4.0,1,ltr,4.0,l,,
2015-11-04 09:44:16.709189,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.0,ASPALL SUFFOLK ORGANIC CYDER 500ML,£2.00/unit,2.0,£4.00 / 1 ltr,4.0,1,ltr,4.0,l,,
2015-11-04 09:44:16.714625,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS BOLD BLACK CHERRY CIDER 568ML,£2.00/unit,2.0,£3.52 / 1 ltr,3.52,1,ltr,3.52,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.721200,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS BOLD BLACK CHERRY CIDER 6X568ML,£9.50/unit,9.5,£2.79 / 1 ltr,2.79,1,ltr,2.79,l,,
2015-11-04 09:44:16.725474,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS FIVE FRUIT HARVEST CIDER 568ML,£2.00/unit,2.0,£3.52 / 1 ltr,3.52,1,ltr,3.52,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.729938,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS NO.17 CRUSHED RED BERRIES & LIME CIDER 568ML,£2.00/unit,2.0,£3.52 / 1 ltr,3.52,1,ltr,3.52,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.734350,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS NO.17 CRUSHED RED BERRIES & LIME CIDER 6X568ML,£9.50/unit,9.5,£2.79 / 1 ltr,2.79,1,ltr,2.79,l,,
2015-11-04 09:44:16.738410,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS ORIGINAL CIDER 568ML,£2.00/unit,2.0,£3.52 / 1 ltr,3.52,1,ltr,3.52,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.742618,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS ORIGINAL CIDER 8X568ML,£10.00/unit,10.0,£2.20 / 1 ltr,2.2,1,ltr,2.2,l,Buy any 2 for £18.00,Buy any 2 for £18.00
2015-11-04 09:44:16.749575,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS PEAR CIDER 568ML,£2.00/unit,2.0,£3.52 / 1 ltr,3.52,1,ltr,3.52,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.754409,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS PEAR CIDER 8X568ML,£10.00/unit,10.0,£2.20 / 1 ltr,2.2,1,ltr,2.2,l,Buy any 2 for £18.00,Buy any 2 for £18.00
2015-11-04 09:44:16.760659,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,BULMERS ZESTY BLOOD ORANGE CIDER 568ML,£2.00/unit,2.0,£3.52 / 1 ltr,3.52,1,ltr,3.52,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.767168,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,CHAPLIN & CORK'S SOMERSET GOLD CIDER 500ML,£2.00/unit,2.0,£4.00 / 1 ltr,4.0,1,ltr,4.0,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.773343,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,FROME VALLEY DRY CIDER 500ML,£2.00/unit,2.0,£4.00 / 1 ltr,4.0,1,ltr,4.0,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.779376,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,HENNEY'S VINTAGE CIDER 500ML,£2.00/unit,2.0,£4.00 / 1 ltr,4.0,1,ltr,4.0,l,Buy any 3 for £5.00,Buy any 3 for £5.00
2015-11-04 09:44:16.785304,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,KOPPARBERG ALCOHOL FREE MIXED FRUIT CIDER 500ML,£1.10/unit,1.1,£2.20 / 1 ltr,2.2,1,ltr,2.2,l,,
2015-11-04 09:44:16.790863,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.5,KOPPARBERG ALCOHOL FREE PEAR CIDER 500ML,£1.10/unit,1.1,£2.20 / 1 ltr,2.2,1,ltr,2.2,l,,
2015-11-04 09:44:16.796039,SAINSBURY,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",http://www.sainsburys.co.uk/shop/gb/groceries/drinks/cider,apple cider,0.0,KOPPARBERG ELDERFLOWER & LIME 500ML,£2.00/unit,2.0,£4.00 / 1 ltr,4.0,1,ltr,4.0,l,,
