timestamp,store,ons_item_no,ons_item_name,product_type,search_string,search_matches,product_name,item_price_str,item_price_num,volume_price,unit_price,no_units,units,std_price,std_unit,promo,offer
2014-03-03 12:38:27.463483,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,A2 MILK WHOLE 2 LITRE,£1.99,1.99,£1.00/l,1.0,1.0,l,1.0,l,,Delivering the freshest food to your door- Find out more >
2014-03-03 12:38:27.465642,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,CRAVENDALE WHOLE MILK 2 LITRES,£2.20,2.2,£1.10/l,1.1,1.0,l,1.1,l,All products available for this offer,Delivering the freshest food to your door- Find out more >
2014-03-03 12:38:27.466796,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO BRITISH WHOLE MILK 1.136L/2PINTS,£0.89,0.89,£0.78/l,0.78,1.0,l,0.78,l,,All our milk is British
2014-03-03 12:38:27.468032,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO BRITISH WHOLE MILK 2.272L/4 PINTS,£1.00,1.0,£0.44/l,0.44,1.0,l,0.44,l,,All our milk is British
2014-03-03 12:38:27.469113,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO BRITISH WHOLE MILK 3.408L/6 PINTS,£1.48,1.48,£0.43/l,0.43,1.0,l,0.43,l,,All our milk is British
2014-03-03 12:38:27.470127,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO BRITISH WHOLE MILK 568ML/1 PINT,£0.49,0.49,£0.86/l,0.86,1.0,l,0.86,l,,All our milk is British
2014-03-03 12:38:27.471199,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO FINEST CHANNEL ISLAND MILK 1L,£1.00,1.0,£1.00/l,1.0,1.0,l,1.0,l,,Our Tesco Finest range has been improved. See it here>
2014-03-03 12:38:27.472267,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO ORGANIC BRITISH WHOLE MILK 1.136L/2PINTS,£1.18,1.18,£1.04/l,1.04,1.0,l,1.04,l,,All our milk is British
2014-03-03 12:38:27.473317,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO ORGANIC BRITISH WHOLE MILK 2.272L/4 PINTS,£1.98,1.98,£0.87/l,0.87,1.0,l,0.87,l,All products available for this offer,All our milk is British
2014-03-03 12:38:27.474439,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO ORGANIC BRITISH WHOLE MILK 568ML/1 PINT,£0.60,0.6,£1.06/l,1.06,1.0,l,1.06,l,,All our milk is British
2014-03-03 12:38:27.475510,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO PURE BRITISH WHOLE MILK 1L,£1.00,1.0,£1.00/l,1.0,1.0,l,1.0,l,,All our milk is British
2014-03-03 12:38:27.476568,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,TESCO PURE BRITISH WHOLE MILK 568ML/1 PINT,£0.59,0.59,£1.04/l,1.04,1.0,l,1.04,l,,All our milk is British
2014-03-03 12:38:27.477596,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,YEO VALLEY ORGANIC WHOLE MILK 1L,£1.00,1.0,£1.00/l,1.0,1.0,l,1.0,l,,Delivering the freshest food to your door- Find out more >
2014-03-03 12:38:27.478692,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.0,YEO VALLEY ORGANIC WHOLE MILK 2L,£1.88,1.88,£0.94/l,0.94,1.0,l,0.94,l,,Delivering the freshest food to your door- Find out more >
2014-03-03 12:38:27.479807,TESCO,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",Fresh Milk,semi skimmed ,0.67,A2 MILK SEMI SKIMMED 2 LITRE,£1.99,1.99,£1.00/l,1.0,1.0,l,1.0,l,,Delivering the freshest food to your door- Find out more >
